Fecha,Nubes,B02,B03,B04,B08,B05,B06,B07,B11,B12,B01,B09,Estacion
2017-11-05T11:02:31Z,6.47,790,659,735,996,905,931,922,1228,917,1508,2181,8
2017-12-23T11:14:45Z,0,465,509,748,714,873,882,831,1089,1017,239,684,8
2018-01-29T11:03:06Z,0,540,567,741,874,1190,1099,1080,1446,1227,431,1117,8
2017-10-19T11:12:35Z,4.4,481,391,402,546,490,580,594,696,492,303,709,8
2019-01-12T11:19:58Z,0.91,649,683,879,991,675,900,1101,1002,887,474,980,8
2019-02-16T11:20:02Z,0,648,703,914,1054,1016,1288,1314,1352,1264,601,1236,8
2018-10-29T11:17:09Z,5.15,563,632,839,952,1033,1507,1482,1535,1467,595,1305,8
2019-02-08T11:10:03Z,0,638,816,1072,1434,1105,1501,1182,1301,1148,763,1283,8
2017-10-26T11:07:17Z,0,538,758,884,987,1068,1379,1229,1500,1341,801,1431,8
2018-08-02T10:59:38Z,0,987,1221,1488,1717,1625,1682,1681,2113,1845,1041,2034,8
2018-08-20T11:14:59Z,0,800,913,1158,1310,1578,1638,1811,2025,1896,762,1617,8
2017-10-29T11:11:56Z,0,500,624,767,887,1003,1185,1216,1418,1176,583,1111,8
2017-12-18T11:14:49Z,0.21,350,476,677,701,781,941,890,1049,1014,259,992,8
2018-10-01T11:05:40Z,0,778,960,1194,1404,1510,1349,1346,1730,1523,807,1763,8
2018-10-16T11:05:23Z,0.02,824,852,1081,1184,1368,1524,1605,1738,1467,729,1808,8
2017-09-16T11:05:23Z,2.59,782,886,1204,1294,1307,1486,1704,1797,1546,827,1847,8
2018-06-21T11:13:49Z,0,858,1010,1308,1406,1412,1699,1714,2237,2075,1025,2216,8
2018-10-24T11:18:39Z,0,600,827,1030,1176,1102,1247,1153,1408,1306,561,1390,8
2017-05-19T11:05:30Z,0.27,1010,1192,1427,1612,1618,2029,2088,2137,1859,1075,2233,8
2019-02-08T11:10:03Z,0,638,759,882,1027,1333,1410,1416,1413,1246,763,1404,8
2018-07-31T11:14:37Z,0,763,905,1096,1266,1382,1538,1561,2185,2033,718,1706,8
2017-07-21T11:07:58Z,0,769,932,1055,1289,1316,1358,1571,1892,1826,908,1790,8
2018-07-11T11:11:39Z,0.01,839,1002,1234,1364,1439,1742,1757,2217,2072,850,1869,8
2019-03-15T11:22:34Z,0,698,812,1023,1163,1583,1422,1579,1865,1701,783,1626,8
2018-09-29T11:10:54Z,0.06,824,857,1062,1208,1181,1606,1624,1706,1615,649,1300,8
2018-10-09T11:18:54Z,6.27,787,792,1064,1214,1137,1481,1384,1752,1596,636,1424,8
2018-01-27T11:13:22Z,7.1,703,590,822,916,908,1051,973,1120,1025,598,876,8
2017-10-16T11:03:13Z,0,616,789,996,1143,1279,1552,1361,1629,1506,678,1420,8
2019-01-09T11:10:02Z,0,497,575,772,846,978,1170,1019,1245,1158,594,1354,8
2017-05-02T11:09:37Z,4.49,838,946,1183,1259,1257,1490,1604,1834,1655,924,1932,8
2017-07-11T11:12:23Z,0,862,959,1196,1244,1326,1484,1422,1975,1839,993,1894,8
2017-09-19T11:18:08Z,1.21,710,899,1121,1235,1104,1298,1279,1497,1317,698,1556,8
2019-02-03T11:10:07Z,0.3,673,671,950,945,1316,1387,1131,1570,1330,683,1387,8
2018-07-08T11:02:15Z,0.1,1005,1136,1301,1559,1810,1910,1797,2374,2114,1077,2239,8
2018-08-15T11:18:26Z,0,891,1054,1068,1424,1320,1334,1665,1742,1501,722,1500,8
2017-10-06T10:59:37Z,0.01,625,829,1034,1211,1343,1481,1508,1689,1481,629,1573,8
2019-02-11T11:19:59Z,8.31,518,737,888,1009,1017,1196,1166,1165,1033,506,981,8
2018-01-22T11:13:42Z,6.21,484,485,598,706,824,893,1155,1199,1001,425,893,8
2017-10-09T11:15:00Z,0,638,758,916,995,1112,1344,1149,1408,1303,630,1185,8
2017-09-06T11:01:39Z,1.89,759,897,1193,1322,1519,1635,1738,1867,1639,913,1723,8
2018-06-16T11:12:45Z,0.17,926,1070,1288,1470,1509,1794,1847,1958,1853,976,2288,8
2018-07-03T10:59:38Z,0.06,963,1244,1512,1643,1756,1667,2008,2292,1953,1144,2213,8
2018-07-26T11:16:15Z,0,680,977,1276,1276,1356,1608,1545,1792,1706,832,1748,8
2018-08-10T11:17:43Z,2.95,805,976,1242,1316,1545,1775,1700,2080,1969,836,1650,8
2018-07-28T11:06:04Z,0,962,1015,1301,1556,1778,1589,1975,2212,2035,1016,2163,8
2018-08-12T10:58:40Z,2.02,906,1198,1313,1571,1752,1811,1727,2055,1846,1018,1885,8
2017-09-29T11:16:02Z,0.2,730,866,970,1126,1106,1284,1213,1559,1388,584,1258,8
2017-08-17T11:05:25Z,0,837,992,1304,1390,1779,1861,1605,2007,1801,993,1909,8
2018-09-24T11:14:16Z,0,871,932,1156,1318,1351,1384,1474,1508,1364,750,1445,8
2018-10-06T11:00:30Z,9.38,951,1029,1178,1335,1300,1598,1804,1864,1616,827,1668,8
2017-08-20T11:12:20Z,0,784,837,1093,1208,1245,1499,1374,1794,1663,852,1716,8
2018-06-13T11:09:57Z,0.42,1090,1256,1588,1826,1631,1852,1991,2239,1938,1196,2441,8
2019-01-07T11:20:01Z,0,375,484,619,700,1068,1336,1171,1263,1141,462,855,8
2017-04-12T11:17:08Z,0,750,898,1035,1104,1197,1547,1364,1638,1554,920,1476,8
2017-07-01T11:17:46Z,0.97,841,1091,1166,1378,1455,1570,1763,2051,1814,981,1830,8
2017-07-31T11:12:20Z,0,810,928,1150,1387,1478,1502,1408,1918,1770,917,1815,8
2017-12-05T11:04:26Z,0,465,540,757,927,942,1070,1059,1249,1087,331,1143,8
2018-07-06T11:09:18Z,3.4,811,1007,1240,1436,1342,1599,1677,1973,1778,932,2001,8
2019-02-06T11:20:03Z,0,526,579,742,835,958,994,1255,1223,1153,448,1024,8
2018-09-19T11:12:56Z,1.62,721,911,1042,1218,1333,1640,1571,1797,1679,602,1449,8
2017-04-09T11:05:29Z,0,817,965,1151,1242,1365,1797,1452,1869,1604,1238,1635,8
2018-01-19T11:08:40Z,0,446,595,826,920,979,1169,1243,1251,1256,375,1043,8
2018-06-13T10:57:37Z,1.11,1120,1296,1628,1860,1621,1817,1978,2224,1935,1190,2420,8
2019-01-04T11:10:05Z,0.02,528,578,761,915,1209,1354,1202,1275,1270,642,1280,8
2018-01-17T11:14:03Z,0.01,504,532,713,703,711,775,849,1031,857,535,908,8
2018-06-26T11:18:03Z,0,999,1282,1490,1692,1568,1744,1771,2087,1795,1019,2099,8
2019-02-21T11:20:00Z,0,785,877,1026,1208,1017,1275,1202,1327,1143,650,1257,8
2018-08-07T10:59:12Z,1.38,1042,1214,1396,1708,1737,1787,2084,2280,2041,1009,2120,8
2018-06-23T11:05:20Z,0,1156,1504,1695,1899,1657,1766,1936,2263,1962,1142,2339,8
2019-03-10T11:26:22Z,0,695,771,1054,1171,1435,1559,1656,1650,1545,814,1601,8
2018-09-16T11:09:46Z,4.21,780,852,1113,1259,1490,1435,1894,1956,1799,837,1627,8
2017-11-18T11:16:33Z,0,484,588,771,816,892,1074,934,1178,929,478,1156,8
2018-10-04T11:19:20Z,0,664,830,979,1082,1121,1439,1381,1455,1374,798,1406,8
2019-01-02T11:19:57Z,0.06,501,572,739,848,767,784,890,999,893,433,1007,8
2019-01-14T11:10:03Z,0,577,615,794,858,1263,1383,1443,1505,1305,636,1258,8
2017-06-21T11:12:22Z,0.11,906,1081,1302,1482,1487,1524,1647,1993,1784,895,1961,8
2017-07-28T11:04:06Z,0,908,1040,1348,1550,1588,1622,1911,2071,1880,941,2072,8
2017-05-02T11:09:37Z,4.49,414,596,759,1603,1129,1454,1660,1874,1407,536,2140,11
2018-02-21T11:12:02Z,0.79,669,878,1843,2170,1179,1546,1434,1589,1289,389,1253,11
2018-09-01T10:59:39Z,0,731,1017,1334,2344,1451,1741,2001,2039,1561,616,2356,11
2018-01-29T11:03:06Z,0,646,701,1357,1974,1125,1645,1492,1420,1102,201,1134,11
2018-10-16T11:05:23Z,0.02,698,962,1206,1644,1230,1601,1689,1629,1188,351,2041,11
2019-03-13T11:36:26Z,0.36,526,546,1058,1288,1207,1429,1215,1483,1219,491,1468,11
2017-06-11T11:10:12Z,8.13,443,547,813,1494,1104,1492,1709,1820,1442,526,2185,11
2019-02-13T11:10:06Z,0,694,888,1828,2063,1235,1335,1558,1651,1350,503,1320,11
2017-06-18T11:04:15Z,1.46,918,1113,1662,2586,1896,1912,2312,2611,2056,704,2776,11
